nome,local,descricao
Analista de Sistemas Sênior,Morumbi - SP,"• Conhecimento avançado em UML; • Experiência linguagem Java; • Experiência com frameworks Java como Spring, Springboot, Hibernate, Junit, Angular; • Experiência com Servidores de aplicação Jboss, Tomcat, Jetty; • Experiência com Oracle; • Experiência com Integração Continua e Entrega Continua; • Experiência com ferramenta Git; • Experiência com monolíticos e microsserviços;"
Analista de Infraestrutura Bilingue,Alphaville - SP,Experiência com Linux - avançado; Inglês- avançado para conversação;
Analista de Teste,Home Office,Requisitos: Avaliação de requisitos de testes. Definição de estratégia de testes. Planejamento de testes. Execução de testes funcional. Monitoramento e reporte de testes. Verificações em especificações de requisitos de sistemas / software.
Analista Jurídico Pl II,Alphaville - SP,Responsabilidades: Triagem das notificações emitidas por órgãos e direcionamento às áreas de atuação. Follow up com áreas de atuação para encerramento das obrigações no sistema com base em evidências. Suporte nas demandar administrativas como elaboração de relatórios. Atas e apresentações. Dar suporte às lojas para acessar o sistema Archer e outros. Formação: Formado ou cursando Direito
Analista BI,Home Office,"Skills da vaga: - QlikView; - QlikSense; - Tableau; - Power BI; - Looker; - Superset; - Kibana. Analista de Dados/BI Skills da vaga: - Banco de Dados (DML/DDL) - SQL Server - Modelagem de Dados Relacional e Multidimensional. - ETL e automação (Integration Services) - BI (Cubos OLAP) - Git - Queries SQL, bancos relacionais e conhecimento de ecossistema Hadoop."
Tech Lead - Mobile,Home office,"Tech Lead, com experiencia com Mobile Nativo + Android + Ios"
Agile Master,Home Office,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Agile Master


Descrição das atividades


O que você precisa ter: Vivencia em liderança de times com práticas Scrum e Kanban, facilitando dinâmicas e fluxo de trabalho da equipe, focando em entregas com excelência.


Home Office – Tempo Indeterminado


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • Portal de conhecimentos e práticas • COP (Comunidade de Prática) • Clube de vantagens Lincard (Em casos de PJ ) • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor Mobile - Flutter,home office,Possuir conhecimentos com Desenvolvimento Flutter e GIT
Engenheiro de Software Java Especialista,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Engenheiro de Software Java Especialista.


Descrição das atividades


Skill Técnico solicitado: Conhecimentos sólidos de Java 8 e 11 Experiência com o Spring Framework (Boot, Data, Cloud, Cloud Streams) Experiência com PostgreSQL Experiência com banco NoSQL (MongoDB, ElasticSearch) Experiência com Redis Experiência com arquitetura de microsserviços Experiência com clean architecture ou hexagonal Experiência com message broker (Kafka ou RabbitMQ) Domínio de design patterns Conhecimento sólido de processos de CI/CD Experiência com escrita de testes unitário e integrado


Nossos Diferencias: • Acompanhamento e desenvolvimento de carreira • Programa de pontos onde você escolhe seus benefícios (Plano de saúde, odontológico, vale alimentação, vale refeição, seguro de vida). • Treinamento e capacitação • E muito mais….


Dê um play em sua carreira! #VemSerCadmus."
Desenvolvedor Móbile Sênior,São Paulo,"Somos uma das melhores empresas para trabalhar pelo GPTW, por isso, buscamos os melhores talentos porque acreditamos que só com pessoas incríveis entregamos resultados incríveis.


E aí, topa transformar ideias em potência com propósito de impactar a sociedade com a gente? Então faça parte de uma empresa que tem seus processos guiados por seus valores, valoriza seus colaboradores, sempre pensando no desenvolvimento profissional de cada um. E disponibiliza ambientes descontraídos, para que todos se sintam respeitados, acolhidos e acima de tudo: felizes.


Atualmente estamos com oportunidade para Desenvolvedor Móbile Sênior.


Descrição das atividades


Skill Técnico solicitado: 3+ anos de experiência profissional em desenvolvimento de software - Experiência na criação de soluções móveis React Native ou Flutter para Android e iOS - Domínio firme da linguagem JavaScript e suas nuances, incluindo sintaxe ES6 + - Capacidade de escrever código Javascript limpo e bem documentado - Familiaridade com ferramentas de compilação nativas, como XCode, Gradle - Compreensão de APIs REST e armazenamento offline - Experiência com suítes de testes automatizados - Administração e implantação das lojas Play Store e App Store; - (CI / CD) para React Native ou Flutter. Diferenciais Experiência com aplicações de larga escala; Experiência em arquitetura de software ou liderança de equipe."
